City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,yibin,28.7667,104.6238,18.11,69,100,3.14,CN,1710616754
183,konibodom,40.2843,70.4426,8.77,25,0,4.71,TJ,1710616755
184,kasongo-lunda,-6.4667,16.8167,22.05,99,100,3.95,CD,1710616755
185,patterson,37.4716,-121.1297,20.97,44,3,2.06,US,1710616756
186,shar,49.5886,81.0453,-8.81,84,14,4.54,KZ,1710616757
187,mwene-ditu,-7.0,23.45,20.67,92,100,3.48,CD,1710616757
188,georgetown,5.4112,100.3354,27.96,78,20,1.54,MY,1710616510
189,salinopolis,-0.6136,-47.3561,27.59,84,100,4.61,BR,1710616759
190,lompoc,34.6391,-120.4579,20.56,45,0,3.6,US,1710616739
191,etawah,26.7769,79.0239,20.06,20,0,2.61,IN,1710616760
192,ust'-ilimsk,58.0006,102.6619,-9.94,94,100,3.6,RU,1710616760
193,ancud,-41.8697,-73.8203,12.83,62,93,3.57,CL,1710616761
194,flying fish cove,-10.4217,105.6791,23.82,88,12,2.57,CX,1710616762
195,pierre,44.3683,-100.351,9.36,42,0,9.77,US,1710616632
196,severo-yeniseyskiy,60.3725,93.0408,-8.01,93,100,3.58,RU,1710616763
197,maracanau,-3.8767,-38.6256,29.78,91,20,6.17,BR,1710616764
198,okakarara,-20.5833,17.4333,20.14,71,99,3.76,NA,1710616765
199,inarajan village,13.2736,144.7484,26.08,88,100,7.62,GU,1710616765
200,srivardhan,18.0333,73.0167,23.76,72,87,1.26,IN,1710616766
201,sucre,-19.0333,-65.2627,22.88,49,77,4.24,BO,1710616766
202,whangarei,-35.7317,174.3239,9.96,87,2,1.04,NZ,1710616509
203,chonchi,-42.6128,-73.8092,14.56,60,90,2.08,CL,1710616590
204,saurimo,-9.6608,20.3916,19.56,91,66,1.65,AO,1710616469
205,siteki,-26.45,31.95,25.51,70,0,1.06,SZ,1710616770
206,malvan,16.0667,73.4667,23.98,73,0,4.72,IN,1710616770
207,egilsstadir,65.2653,-14.3948,2.95,87,100,3.09,IS,1710616771
208,toguchin,55.2353,84.3858,-4.55,93,100,6.58,RU,1710616771
209,kununurra,-15.7667,128.7333,25.99,94,100,2.06,AU,1710616772
210,mar del plata,-38.0023,-57.5575,23.01,60,20,8.49,AR,1710616444
211,moree,-29.4667,149.85,19.54,60,7,4.21,AU,1710616773
